name,address,lat,lon,note,google_maps_url,feature_id,kg_id,added_by,list_title,list_id,emoji,category,status,source_lists,source_list_ids,tourism_tier,drop_reason
Art & Wine Studios and Apts,"Zinonos Kitieos 120, Street 6022, Cyprus",34.9133174,33.6362606,,https://www.google.com/maps?ftid=0x14e082a3c7e4e873:0x825fef9a50d04fbf,0x14e082a3c7e4e873:0x825fef9a50d04fbf,/g/11g9jhqrn6,Zach J.,Cyprus Places,op1yFHMtopjnsWL6BEbTl-cVqS5sDg,🎨,art,visited,Cyprus Places,op1yFHMtopjnsWL6BEbTl-cVqS5sDg,core,
Art-o-mat,,36.109873,-115.17371809999999,,https://www.google.com/maps?ftid=0x80c8c56446acf641:0xb2f436d9e69601a7,0x80c8c56446acf641:0xb2f436d9e69601a7,,Zach J.,Las Vegas & Beyond,s8jsj3Ck0g54qiNSl6LBxHqr130VlA,🎨,art,visited,Las Vegas & Beyond,s8jsj3Ck0g54qiNSl6LBxHqr130VlA,core,
Bangkok Art and Culture Centre,"939 Rama I Rd, Wang Mai, Pathum Wan, Bangkok 10330",13.746737,100.53021659999999,,https://www.google.com/maps?ftid=0x30e29ecd506f6c7d:0x1ed0028ba796150b,0x30e29ecd506f6c7d:0x1ed0028ba796150b,/m/043rs1m,Zach J.,Thailand Places,8ZLYjtP28NdeHaxAFNWuqLewhbemIw,🎨,art,visited,Thailand Places,8ZLYjtP28NdeHaxAFNWuqLewhbemIw,core,
"Banksy ""Hammer Boy"" Mural","233 W 79th St, New York, NY 10024, United States",40.7837592,-73.979471,,https://www.google.com/maps?ftid=0x89c258888656e423:0x7a697d04e7f14b7d,0x89c258888656e423:0x7a697d04e7f14b7d,/g/11bwfk4dsw,Zach J.,"New York, New York",m7FS_hkzSJJEPgD5o0716tZ4PbE9XQ,🎨,art,visited,"New York, New York",m7FS_hkzSJJEPgD5o0716tZ4PbE9XQ,core,
Juno DJ & Studio,"9 Greenland St, London NW1 0ND, United Kingdom",51.538255,-0.141252,For audio equipment,https://www.google.com/maps?ftid=0x48761ae02a7bda09:0xa4d2a726fe32936b,0x48761ae02a7bda09:0xa4d2a726fe32936b,/g/1hdzx0ds9,Zach J.,London (The British One),Dc1pjbzURxS4lLc15TJmfg,🎨,art,visited,London (The British One),Dc1pjbzURxS4lLc15TJmfg,core,
"Mural ""Now Freedom"" by Paint Hunters","Produkty, Ihorivska St, ул., 16, Kyiv, Ukraine, 01001",50.4611885,30.5247486,,https://www.google.com/maps?ftid=0x40d4cf00085c4fb9:0x6fcfd2a7757e66a7,0x40d4cf00085c4fb9:0x6fcfd2a7757e66a7,/g/11vz8zdt74,Zach J.,Ukraine Places,rtZlzg3DJ3HuV0pqVKIPqr7kz2er6A,🎨,art,visited,Ukraine Places,rtZlzg3DJ3HuV0pqVKIPqr7kz2er6A,core,
"Mural - Ludwik Zamenhof, Esperanto","Ludwika Zamenhofa 26, 15-435 Białystok, Poland",53.1347713,23.161165099999998,Esperanto mural where Ludwig used to live.,https://www.google.com/maps?ftid=0x471ffc1b0e84aa71:0xbb3d76bee3178cca,0x471ffc1b0e84aa71:0xbb3d76bee3178cca,/g/11d_d5mjsc,Zach J.,Poland Places,rJiYI8AwTOeCZ372vYFwILDmTQWZ1w,🎨,art,visited,Poland Places,rJiYI8AwTOeCZ372vYFwILDmTQWZ1w,core,
The Art Institute of Chicago,"111 S Michigan Ave, Chicago, IL 60603, United States",41.8796031,-87.6223504,,https://www.google.com/maps?ftid=0x880e2ca3e2d94695:0x4829f3cc9ca2d0de,0x880e2ca3e2d94695:0x4829f3cc9ca2d0de,/m/027hqc_,Zach J.,Illinois Places,jvmK2Q-VUEhCXxu8GrJbdro33fvGTw,🎨,art,visited,Illinois Places,jvmK2Q-VUEhCXxu8GrJbdro33fvGTw,core,
"The Official Simpsons Mural, Springfield Oregon","500 Main St, Springfield, OR 97477, United States",44.046461099999995,-123.01946009999999,Cue the music.,https://www.google.com/maps?ftid=0x54c0e173241245c9:0xd09a434606a23a46,0x54c0e173241245c9:0xd09a434606a23a46,/g/11h6sy4x2v,Zach J.,O-re-going Places,uPOFXqj2oXs8EjysOzM2PTCFTrpdog,🎨,art,visited,O-re-going Places,uPOFXqj2oXs8EjysOzM2PTCFTrpdog,core,
Beach Mall,"1971 Queen St E, Toronto, ON M4L 1H9",43.6696739,-79.30124769999999,Retro mall,https://www.google.com/maps?ftid=0x89d4cbf803682b51:0xcda7de6c012ba975,0x89d4cbf803682b51:0xcda7de6c012ba975,/g/11c209nttv,Zach J.,Churono,_Goa88wVSLuG5ntawKc2cw,🏖️,beach,visited,Churono,_Goa88wVSLuG5ntawKc2cw,core,
Cove House,"8030 Girard Ave, La Jolla, CA 92037, United States",32.8484164,-117.2745171,Get the burger.,https://www.google.com/maps?ftid=0x80dc032a93802145:0xa7262764d2da672e,0x80dc032a93802145:0xa7262764d2da672e,/g/11h6r4_67f,Zach J.,California Places,aTaCY8tke-6jFT8XQ0SVYBXQZ4k60Q,🏖️,beach,visited,California Places,aTaCY8tke-6jFT8XQ0SVYBXQZ4k60Q,core,
English Bay Beach,"Beach Ave, Vancouver, BC V6C 3C1",49.286311399999995,-123.1434865,,https://www.google.com/maps?ftid=0x5486722f68e4acf3:0x2e8b93c8034168e0,0x5486722f68e4acf3:0x2e8b93c8034168e0,/g/1234cz5tk,Zach J.,BC Places,J-HTPTrrRB2hdSQ_jx2gvA,🏖️,beach,visited,BC Places,J-HTPTrrRB2hdSQ_jx2gvA,core,
Gwangalli Beach,"Gwangalli Beach, Busan",35.1531696,129.118666,,https://www.google.com/maps?ftid=0x3568ed2f27c70ec7:0xff6df0e14d9216fb,0x3568ed2f27c70ec7:0xff6df0e14d9216fb,/m/03hp9yc,Zach J.,South Korea Places,eq-jX2C0L9Am26jRVNLfIlkd0WnWLw,🏖️,beach,visited,South Korea Places,eq-jX2C0L9Am26jRVNLfIlkd0WnWLw,core,
Juno Beach,"Juno Beach, France",49.3357502,-0.4525844,Canadain D-Day landings,https://www.google.com/maps?ftid=0x480a58c8ce54c08d:0xd3f21873403f5a7b,0x480a58c8ce54c08d:0xd3f21873403f5a7b,/m/0gc66,Zach J.,France,1a9PFoaE6QmGPm2JEsIX4DjQqMe7dQ,🏖️,beach,visited,France,1a9PFoaE6QmGPm2JEsIX4DjQqMe7dQ,core,
