CITY,IATA,URL,GROKVIBE,ACTIVITYEMOJI,SHORTTITLE
Amsterdam,AMS,https://www.getyourguide.com/amsterdam-l36/from-amsterdam-zaanse-schans-volendam-marken-day-trip-t609/?partner_id=DEYJUF3&utm_medium=online_publisher&cmp=YonderAMS,explorer,🗺,Amsterdam Zaanse Schans Volendam
Amsterdam,AMS,https://www.getyourguide.com/amsterdam-l36/amsterdam-evening-sunset-canal-cruise-w-optional-drinks-t963935/?partner_id=DEYJUF3&utm_medium=online_publisher&cmp=YonderAMS,adventure,🏔,Amsterdam Evening Sunset Canal
Amsterdam,AMS,https://www.getyourguide.com/amsterdam-l36/amsterdam-national-holocaust-museum-admission-ticket-t635116/?partner_id=DEYJUF3&utm_medium=online_publisher&cmp=YonderAMS,history,🏛,Amsterdam National Holocaust
Amsterdam,AMS,https://www.viator.com/tours/Amsterdam/Amsterdam-Traditional-Dutch-Stroopwafel-Baking-Workshop/d525-14823P102?pid=P00312625&mcid=42383&medium=link&campaign=YonderAMS,foodie,🍜,Amsterdam Traditional Dutch
Amsterdam,AMS,https://www.viator.com/tours/Amsterdam/BRUGE-FROM-AMSTERDAM-ENG/d525-6877P56?pid=P00312625&mcid=42383&medium=link&campaign=YonderAMS,explorer,🗺,Bruges Day Trip
Amsterdam,AMS,https://www.viator.com/tours/Amsterdam/Amsterdam-Red-Light-District-and-Coffeeshop-Tour/d525-9093P14?pid=P00312625&mcid=42383&medium=link&campaign=YonderAMS,nightlife,🍸,Amsterdam Red Light District
Athens,ATH,https://www.getyourguide.com/athens-l91/acropolis-museum-early-morning-guided-walking-tour-t463434/?partner_id=DEYJUF3&utm_medium=online_publisher&cmp=YonderATH,history,🏛,Acropolis Museum Early Morning
Athens,ATH,https://www.getyourguide.com/athens-l91/hydra-island-full-day-trip-from-athens-with-swimming-t1030362/?partner_id=DEYJUF3&utm_medium=online_publisher&cmp=YonderATH,nature,🌿,Hydra Island Trip Athens
Athens,ATH,https://www.getyourguide.com/athens-l91/athens-the-odyssey-live-an-epic-theatrical-journey-t1284653/,vibe,✨,Athens Odyssey Live Epic
Athens,ATH,https://www.viator.com/tours/Athens/Best-of-Athens-Half-Day-Private-Tour/d496-141567P7?pid=P00312625&mcid=42383&medium=link&campaign=YonderATH,explorer,🗺,Best of Athens
Athens,ATH,https://www.viator.com/tours/Athens/Private-Tour-Gourmet-Food-Walking-Tour-in-Athens/d496-5776GOURMET?pid=P00312625&mcid=42383&medium=link&campaign=YonderATH,foodie,🍜,Gourmet Food Walking Athens
Athens,ATH,https://www.viator.com/tours/Athens/Full-Day-Meteora-Tour-from-Athens-by-Train/d496-6575P10?pid=P00312625&mcid=42383&medium=link&campaign=YonderATH,explorer,🗺,Meteora Athens Train
Bangkok,BKK,https://www.getyourguide.com/bangkok-l169/bangkok-muay-thai-boxing-tickets-at-rajadamnern-stadium-t505196/?partner_id=DEYJUF3&utm_medium=online_publisher&cmp=YonderBKK,culture,🎟,Bangkok Muay Thai Boxing
Bangkok,BKK,https://www.getyourguide.com/bangkok-l169/bangkok-grand-palace-wat-arun-big-buddha-small-group-tour-t664120/?partner_id=DEYJUF3&utm_medium=online_publisher&cmp=YonderBKK,history,🏛,Bangkok Grand Palace Wat
Bangkok,BKK,https://www.getyourguide.com/bangkok-l169/bangkok-baiyoke-sky-buffet-breakfast-on-81st-floor-balcony-t1156147/,vibe,✨,Bangkok Baiyoke Sky Buffet
Bangkok,BKK,https://www.viator.com/tours/Bangkok/Erawan-National-Park-Small-Group-Tour-Full-Day/d343-163642P30?pid=P00312625&mcid=42383&medium=link&campaign=YonderBKK,explorer,🗺,Erawan National Park
Bangkok,BKK,https://www.viator.com/tours/Bangkok/Bangkok-by-Night-Food-Temples-and-Markets-by-Tuk-Tuk/d343-6467BKKNIGHT?pid=P00312625&mcid=42383&medium=link&campaign=YonderBKK,foodie,🍜,Bangkok Night Food Temples
Bangkok,BKK,https://www.viator.com/tours/Bangkok/Living-Green-Elephant-Sanctuary-Tour-from-Bangkok/d343-157340P38?pid=P00312625&mcid=42383&medium=link&campaign=YonderBKK,nature,🌿,Living Green Elephant Sanctuary
Barcelona,BCN,https://www.getyourguide.com/barcelona-l45/guided-tour-of-sagrada-familia-gaudi-s-dream-t1017101/?partner_id=DEYJUF3&utm_medium=online_publisher&cmp=YonderBCN,explorer,🗺,Sagrada Familia Gaudi Dream
Barcelona,BCN,https://www.getyourguide.com/barcelona-l45/montserrat-monastery-ticket-with-escolania-boys-choir-t948384/?partner_id=DEYJUF3&utm_medium=online_publisher&cmp=YonderBCN,culture,🎟,Montserrat Monastery Escolania
